Start,End,Open,High,Low,Close,Volume,Market Cap
2025-05-25,2025-05-26,403.8981,418.6045,395.7667,417.7115,401180419.26480836,7517885043.017422
2025-05-24,2025-05-25,393.0881,406.5725,385.5369,404.2176,320139905.80487806,7344083651.149826
2025-05-23,2025-05-24,386.2478,402.541,377.933,392.4556,343011065.5121951,7249719608.264809
2025-05-22,2025-05-23,396.5246,409.4214,386.5023,386.5023,557497226.8571428,7348854969.010453
2025-05-21,2025-05-22,353.2126,400.5957,350.9641,398.8803,1559084773.5714285,6814581026.982578
2025-05-20,2025-05-21,342.88300948181654,355.6498281484372,342.88300948181654,352.5394,749256972.6711936,6422094921.893334
2025-05-19,2025-05-20,337.53914604101124,345.576748157835,337.11332521211637,342.52326060612984,90264271.6733651,6324539584.980264
2025-05-18,2025-05-19,336.5629,345.6922,335.9239,337.8046,701358261.3135889,6292052403.275261
2025-05-17,2025-05-18,334.6037,340.0876,332.7586,336.3674,407719012.7456446,6197057950.885017
2025-05-16,2025-05-17,335.8347,343.4742,332.4466,334.531,251204824.80487806,6245782223.013937
2025-05-15,2025-05-16,340.9635,348.8765,332.1571,336.5228,193821922.7595819,6312317405.003485
2025-05-14,2025-05-15,342.065,349.2897,337.3283,339.8236,221608439.184669,6325516448.860627
2025-05-13,2025-05-14,336.7718,345.7108,332.4379,341.9904,246776810.2508711,6256038014.95122
2025-05-12,2025-05-13,331.9273,349.9076,330.7555,336.9722,226632785.3031359,6231412614.313589
2025-05-11,2025-05-12,325.2664,340.5862,317.5249,332.4324,194701217.01045296,6069702150.41115
2025-05-10,2025-05-11,316.2292,332.1684,310.0547,325.4889,210888260.4878049,5900055132.414634
2025-05-09,2025-05-10,298.596,315.492,295.861,315.492,242953411.46341464,5597350592.425087
2025-05-08,2025-05-09,282.8963,299.4978,281.1491,298.536,204480261.86759582,5369156108.989547
2025-05-07,2025-05-08,288.4015,290.7029,278.4502,282.9165,195480679.7630662,5247792325.184669
2025-05-06,2025-05-07,281.7719,290.9693,274.5113,287.8581,228429882.12891987,5243416461.8013935
2025-05-05,2025-05-06,280.9858,281.9665,270.709,281.2846,208396863.31010452,5095216849.644599
2025-05-04,2025-05-05,278.3573,280.019,265.5415,280.019,183943457.2578397,5074352521.599303
2025-05-03,2025-05-04,282.3919,285.7611,270.9605,278.0342,186169533.34146342,5116545926.428572
2025-05-02,2025-05-03,272.3247,291.5951,270.5533,283.5389,195377740.184669,5198017642.745645
2025-05-01,2025-05-02,282.3353,288.8666,270.9947,272.0173,211836086.44599304,5116064575.682927
2025-04-30,2025-05-01,268.2025,277.951,267.1682,277.951,247465228.13937283,5033849365.425087
2025-04-29,2025-04-30,260.2189,276.8086,259.4473,269.1138,557824511.3205575,4969154120.982578
2025-04-28,2025-04-29,236.0378,329.9299,234.3401,258.9778,674494673.3937283,4944337748.306621
2025-04-27,2025-04-28,230.4169,234.8476,227.3385,234.8476,77415433.07665505,4235415419.595819
2025-04-26,2025-04-27,228.3721,230.5343,227.1141,230.2977,86397944.8466899,4220895023.2125435
2025-04-25,2025-04-26,227.7448,230.7629,226.9125,227.5462,102097535.38327526,4221632745.139373
2025-04-24,2025-04-25,230.2329,230.6109,221.5131,228.073,120808143.271777,4174655746.0731707
2025-04-23,2025-04-24,226.9128,230.3984,225.0087,230.0452,133609106.00696865,4203082950.02439
2025-04-22,2025-04-23,215.6493,226.9864,214.8392,226.969,107880352.05574913,4032036723.919861
2025-04-21,2025-04-22,214.168,216.5968,212.9237,215.2686,100420840.98954704,3968991395.979094
2025-04-20,2025-04-21,216.0881,219.6458,212.9645,214.4366,102854831.03832753,3980347108.7630663
2025-04-19,2025-04-20,215.3201,216.3467,210.408,216.3467,97723406.76655053,3940101345.8954706
2025-04-18,2025-04-19,216.8455,219.576,214.6275,215.8147,98251485.96864112,3997171342.818815
2025-04-17,2025-04-18,218.8137,219.6965,215.3023,216.9448,118614462.34146342,4011084918.4634147
2025-04-16,2025-04-17,215.6342,220.1884,215.0317,218.5119,115412813.63066202,4018087752.41115
2025-04-15,2025-04-16,215.0086,217.088,210.6296,215.3725,111352354.11149825,3948256510.076655
2025-04-14,2025-04-15,203.6076,217.3841,203.6076,214.6601,91641641.77351916,3872797493.8885016
2025-04-13,2025-04-14,208.0166,212.9095,200.9271,203.0596,91950105.91637631,3820887218.3763065
2025-04-12,2025-04-13,206.4456,210.1152,204.771,207.4031,94419164.80139373,3830345474.6445994
2025-04-11,2025-04-12,201.0284,206.6429,200.0818,206.6429,80296764.91986063,3739362302.163763
2025-04-10,2025-04-11,202.6563,205.1071,198.27,200.9119,100945372.5261324,3728211990.944251
2025-04-09,2025-04-10,194.1462,205.5544,192.3486,203.2465,115694844.12891985,3638744819.4076657
2025-04-08,2025-04-09,204.0526,208.0396,194.4234,194.5696,125644469.67944251,3749326102.097561
2025-04-07,2025-04-08,198.5302,204.6889,185.8293,203.7789,146477768.9403509,3646237194.336842
2025-04-06,2025-04-07,213.2591,215.6005,196.3126,198.5783,83613277.1358885,3871840384.2125435
2025-04-05,2025-04-06,215.1005,219.0451,211.5554,213.2375,98454629.56794424,3983439136.567944
2025-04-04,2025-04-05,214.6015,218.6233,212.8793,215.5269,121928390.60627177,3976698233.5261326
2025-04-03,2025-04-04,214.0734,217.4851,207.539,214.763,131732109.30662021,3929894691.714286
2025-04-02,2025-04-03,216.5426,222.2025,213.227,214.0196,112894709.87804878,4011977962.292683
2025-04-01,2025-04-02,215.1153,219.7723,215.1153,216.5714,94875233.26132405,4009844754.163763
2025-03-31,2025-04-01,218.1485,218.4668,214.0719,214.9508,78062667.18466899,3983609692.0174217
2025-03-30,2025-03-31,215.6016,219.1092,215.4147,218.0422,70381318.80487806,4001799492.7874565
2025-03-29,2025-03-30,217.7089,220.0096,213.1437,215.8297,81049583.67247386,3991357363.02439
2025-03-28,2025-03-29,224.8962,226.2003,215.3902,217.9551,91164744.77003485,4064305635.6655054
2025-03-27,2025-03-28,223.1656,225.0563,221.0592,224.5557,99241828.36933798,4122964828.9616723
2025-03-26,2025-03-27,220.0813,229.2485,220.0813,222.8553,117561438.64808363,4141552912.303136
2025-03-25,2025-03-26,219.4781,225.2846,218.822,219.659,104461985.28222996,4086138057.7770033
2025-03-24,2025-03-25,215.9025,222.019,215.9015,219.0777,81616522.14982578,4040738043.390244
2025-03-23,2025-03-24,214.6001,218.1848,214.6001,215.7506,63823882.257839724,3979712344.881533
2025-03-22,2025-03-23,213.6464,217.4878,213.1746,214.3603,84384959.56794424,3962480341.4808364
2025-03-21,2025-03-22,210.5523,214.2137,206.6987,212.9989,88450747.85365854,3885004408.770035
2025-03-20,2025-03-21,207.161,211.439,207.1172,210.2627,104444499.55052266,3867794637.8745646
2025-03-19,2025-03-20,208.8177,210.7256,204.7245,207.3973,87177702.91986063,3834345137.672474
2025-03-18,2025-03-19,211.8686,212.5096,205.3113,208.9475,84509021.95818815,3855809364.087108
2025-03-17,2025-03-18,209.669,212.478,208.5517,212.3262,78905745.76655053,3892937286.4076657
2025-03-16,2025-03-17,213.0215,214.4186,208.3475,209.0563,64972837.92334495,3899584554.554007
2025-03-15,2025-03-16,209.8797,212.9397,208.1155,212.9397,65845666.114982575,3881203537.5365853
2025-03-14,2025-03-15,206.683,211.2225,206.0771,209.7964,78998934.22648084,3841135004.9268293
2025-03-13,2025-03-14,208.7055,211.1596,205.1931,206.9677,77229206.54006968,3840032532.41115
2025-03-12,2025-03-13,212.5712,213.2032,204.882,208.7068,96133785.98954704,3841911207.919861
2025-03-11,2025-03-12,201.9276,213.661,197.118,212.1955,106468251.25783972,3785718479.2369337
2025-03-10,2025-03-11,211.1579,213.2203,197.5778,202.0156,104945965.06271777,3806426749.0731707
2025-03-09,2025-03-10,220.1693,221.1287,209.9841,210.7666,70021165.74912892,4016153154.944251
2025-03-08,2025-03-09,215.8398,227.6122,214.2307,219.9067,90347447.29616725,4034590958.3728223
2025-03-07,2025-03-08,229.3736,230.1383,216.3723,216.3723,112958132.4738676,4123132013.041812
2025-03-06,2025-03-07,228.6104,234.6698,224.7942,228.8597,120884925.20774648,4224422643.03169
2025-03-05,2025-03-06,225.0243,229.4616,223.4069,228.0809,125115490.56794424,4180800751.1916375
2025-03-04,2025-03-05,219.2733,224.6949,212.1589,224.3095,121624232.08362369,4002187536.4425087
2025-03-03,2025-03-04,229.2852,234.7511,216.017,219.6685,126735489.62020905,4217960335.0487804
