Start,End,Open,High,Low,Close,Volume,Market Cap
2025-05-25,2025-05-26,0.18914746600342644,0.19057896756526807,0.18226841268978886,0.1884392435434179,218423946.0209059,6660771599.515679
2025-05-24,2025-05-25,0.19009844017933894,0.1938210153691184,0.18786810431429918,0.1887641003466577,342893742.3031359,6831895034.679442
2025-05-23,2025-05-24,0.20465884449716784,0.20853307419469533,0.1899182288591256,0.1906998867803217,445640844.67247385,7205343271.808362
2025-05-22,2025-05-23,0.1987384136522056,0.2057981037167078,0.1979137369096115,0.2048740493194886,420810383.80139375,7243832822.905923
2025-05-21,2025-05-22,0.1957146807033777,0.20230817640193824,0.19313663027724723,0.19875064119983016,318316292.12891984,7024352774.818815
2025-05-20,2025-05-21,0.19434892416519717,0.1984839532534437,0.19106906883299335,0.1950268511561902,299435494.5191638,6960429682.895471
2025-05-19,2025-05-20,0.19665108532038822,0.1973544113428126,0.17907245811642658,0.19433630474688754,448722843.4425087,6816064028.243902
2025-05-18,2025-05-19,0.1916900793794481,0.20052054785477771,0.18829980146172293,0.19694636935859255,270886482.0313589,6938959419.383275
2025-05-17,2025-05-18,0.19571478526056105,0.19597898390923857,0.18765421542160024,0.191184576200627,324499324.5505226,6860093218.630662
2025-05-16,2025-05-17,0.1982213194931965,0.20202332912839766,0.19484565870875858,0.1958544598533763,436160388.3832753,7129607891.574913
2025-05-15,2025-05-16,0.20626760437985714,0.20761326157084128,0.19450751303727976,0.19756112096931902,491433251.902439,7174905700.839722
2025-05-14,2025-05-15,0.21625870853320184,0.21625870853320184,0.20322043785160188,0.20511871782338348,585712819.5923345,7498936936.689896
2025-05-13,2025-05-14,0.2145089558841136,0.21782698250141858,0.201489895509997,0.2166694704645716,942302646.271777,7516834427.156795
2025-05-12,2025-05-13,0.20640305745540613,0.22739842734565793,0.20501510699671915,0.21620478493330808,748729676.7560976,7656135284.414634
2025-05-11,2025-05-12,0.21974651655604419,0.22048620304699998,0.20077175477690554,0.20593710712312852,614480637.6898955,7442625783.327526
2025-05-10,2025-05-11,0.20358401157271228,0.2195839779490498,0.19971166541238417,0.2195839779490498,594247008.6202091,7450627669.56446
2025-05-09,2025-05-10,0.19542610726394966,0.20580139527254945,0.19247870241073392,0.20233248941010015,600420123.0487804,7117172333.567945
2025-05-08,2025-05-09,0.17623520747483118,0.19634181533495446,0.17561275110247174,0.19498124353411642,338941526.9477352,6676168181.132404
2025-05-07,2025-05-08,0.17737319805815316,0.1783232361213034,0.173434157436163,0.17621366265979307,292589110.8327526,6301919217.731708
2025-05-06,2025-05-07,0.1744683473850612,0.17766491951829325,0.17042038217348687,0.17761009065136452,252869686.91986063,6212072478.031359
2025-05-05,2025-05-06,0.17696680832415898,0.17868948084071987,0.17329869967362024,0.17434916383380414,223505008.29965156,6291869369.456446
2025-05-04,2025-05-05,0.18114555649923805,0.18482442362807008,0.17711312208847999,0.177806818236694,230327420.32752612,6424786061.954704
2025-05-03,2025-05-04,0.18747224528071607,0.18747224528071607,0.18051612549745313,0.1813694754582147,238240984.49825785,6565051510.543554
2025-05-02,2025-05-03,0.18643091309211177,0.19050978845995234,0.184618792482125,0.1872299969173774,297733445.9303136,6692655252.114983
2025-05-01,2025-05-02,0.18199826369247094,0.19199432742013398,0.18199826369247094,0.18650848887914406,323086690.641115,6681231925.815331
2025-04-30,2025-05-01,0.18640700319080403,0.1888115470523706,0.17716788804345313,0.18252590611277472,296074416.5226481,6604180230.749129
2025-04-29,2025-04-30,0.1910926590234012,0.1918082480279865,0.1844544018808733,0.18698696699392633,335286707.90592337,6761537151.491289
2025-04-28,2025-04-29,0.18999794286064764,0.19890335445869228,0.18665423656043248,0.19095887362349967,396906447.41463417,6904589571.944251
2025-04-27,2025-04-28,0.19180131781466736,0.19418347117358925,0.18562353698568698,0.19081177628985593,259548409.50174215,6782631263.306621
